Date,Dividends
1993-03-29,1.290000
1993-09-20,0.650000
1994-03-28,1.360000
1994-09-26,0.695000
1995-03-27,1.475000
1995-09-25,0.770000
1996-03-25,1.670000
1996-09-23,0.875000
1997-04-28,1.907500
1997-11-03,1.000000
1998-03-23,2.175000
1998-08-24,1.140000
1999-04-12,2.480000
1999-09-06,1.300000
2000-04-10,2.830000
2000-09-11,1.480000
2001-04-04,3.230000
2001-09-12,1.630000
2002-04-03,3.460000
2002-09-11,1.670000
2003-04-02,3.250000
2003-09-10,1.570000
2004-03-31,3.330000
2004-09-08,1.610000
2005-03-30,3.450000
2005-09-07,1.650000
2006-04-19,3.630000
2006-09-06,1.740000
2007-04-18,3.810000
2007-09-05,1.870000
2008-04-16,4.100000
2008-09-03,2.010000
2009-04-15,2.050000
2009-09-02,1.110000
2010-04-14,2.730000
2010-09-01,1.330000
2011-04-20,3.420000
2011-09-07,1.660000
2012-04-18,4.740000
2012-08-29,1.960000
2013-04-24,5.690000
2013-08-28,2.400000
2014-04-23,6.900000
2014-08-27,2.900000
2015-04-23,8.350000
2015-08-13,3.450000
2016-04-28,9.950000
2016-08-18,4.000000
2017-04-27,10.350000
2017-08-17,4.300000
2018-04-26,11.050000
2018-08-16,4.600000
2019-04-25,11.820000
2019-08-15,4.930000
2020-04-23,12.640000
2020-08-13,4.930000
2021-04-15,12.640000
2021-08-12,5.180000
2022-04-21,13.270000
2022-08-18,5.440000
2023-04-27,13.930000
2023-08-24,5.710000